Account,Date,Support Ticket Count,Support Ticket Decline,Jira Ticket Count,Monthly Consumption,Consumption % as per committed transactions,POC NPS,DM NPS,Count of enabled B2C channels,Count of enabled B2B channels,Count of enabled warehouses,Count of enabled stores,Industry,Region,Customer Tenure (months),Last Engagement Score,Opportunity Score
Company_074,2024-07-01,10,0,3,41355.46,26.34,41,80,6,8,0,3,Finance,Central,25,60.26,Medium
Company_075,2024-07-01,8,1,3,109710.01,90.95,-81,76,2,8,0,11,Healthcare,South,30,52.52,Medium
Company_076,2024-07-01,11,2,7,55651.99,38.1,49,41,2,6,1,1,E-commerce,North,18,89.04,Medium
Company_077,2024-07-01,10,2,7,176332.85,109.87,-22,-7,0,5,1,7,Healthcare,East,7,0.32,Low
Company_078,2024-07-01,11,2,6,166034.27,551.07,70,-74,5,8,3,19,Retail,South,27,28.21,Medium
Company_079,2024-07-01,8,2,0,60972.44,48.66,91,-61,3,2,1,13,Finance,West,11,53.83,Low
Company_080,2024-07-01,7,2,8,63687.9,44.51,-94,-55,5,6,5,7,Healthcare,East,37,17.83,Low
Company_081,2024-07-01,4,1,5,9314.09,13.68,-32,-60,1,6,0,15,Retail,Central,8,90.79,Low
Company_082,2024-07-01,10,3,5,137697.36,103.82,-44,-49,7,5,2,7,Logistics,East,11,64.76,Low
Company_083,2024-07-01,6,1,5,11071.15,8.38,-43,-94,10,3,3,10,Healthcare,Central,24,47.79,Low
Company_084,2024-07-01,9,3,6,184565.33,147.36,-29,-83,4,5,5,16,Logistics,South,30,81.47,Medium
Company_085,2024-07-01,13,1,4,93767.93,1290.5,2,73,8,5,0,3,Logistics,North,30,45.09,Medium
Company_086,2024-07-01,4,2,4,52198.78,26.44,-34,-55,9,4,0,3,Retail,East,52,55.87,Low
Company_087,2024-07-01,6,2,3,11474.61,56.46,52,11,5,5,3,19,E-commerce,North,52,0.28,Low
Company_088,2024-07-01,9,4,4,187561.39,1239.31,30,-71,6,9,1,8,Finance,North,15,36.57,Low
Company_089,2024-07-01,10,2,7,147659.96,705.9,-89,81,6,0,4,17,Retail,East,56,13.88,Low
Company_090,2024-07-01,4,0,7,137644.51,721.46,75,84,10,3,2,13,Healthcare,East,35,68.97,High
Company_091,2024-07-01,10,3,5,146425.24,146.57,-83,70,5,9,2,3,Finance,North,39,47.9,Low
Company_092,2024-07-01,9,3,6,194422.04,482.55,84,-24,8,4,5,13,E-commerce,West,24,30.18,Low
Company_093,2024-07-01,14,5,5,133063.65,194.5,-17,3,4,8,1,6,Retail,West,8,46.78,Low
Company_094,2024-07-01,13,2,5,125343.27,87.76,7,70,6,10,5,5,E-commerce,East,43,20.96,Low
Company_095,2024-07-01,6,0,4,16131.94,14.86,57,45,4,6,4,0,Healthcare,North,42,92.51,High
Company_096,2024-07-01,16,5,2,197392.87,102.17,-23,-27,3,6,4,19,Retail,North,20,5.4,Low
Company_097,2024-07-01,11,8,1,65046.34,45.67,67,-18,7,7,3,6,Healthcare,South,41,86.54,Low
Company_098,2024-07-01,7,0,8,186535.0,133.76,30,21,2,10,0,9,Finance,North,47,51.14,Medium
Company_099,2024-07-01,12,0,7,148997.6,84.51,31,69,10,9,2,2,Finance,West,26,61.89,Medium
Company_100,2024-07-01,9,3,4,68294.24,89.32,92,-40,10,4,1,6,E-commerce,South,52,30.26,Low
Company_001,2024-08-01,9,2,3,125800.62,131.89,-63,-94,0,3,3,19,E-commerce,West,24,96.67,Low
Company_002,2024-08-01,9,0,9,43176.71,666.85,96,-82,7,6,5,18,Finance,Central,22,28.19,Low
Company_003,2024-08-01,8,0,6,28767.79,71.34,-51,83,6,7,3,7,Logistics,East,5,58.89,Low
Company_004,2024-08-01,12,6,5,128464.52,67.43,-63,67,0,1,3,7,Finance,Central,15,99.34,Low
Company_005,2024-08-01,11,2,6,165409.79,188.76,-55,78,8,7,0,17,Retail,East,36,88.11,High
Company_006,2024-08-01,12,0,4,130184.44,105.51,-37,-69,7,2,3,16,Healthcare,West,37,53.63,Medium
Company_007,2024-08-01,10,4,5,146246.07,124.16,43,52,5,7,4,16,Finance,West,29,99.04,High
Company_008,2024-08-01,8,1,2,161069.52,318.48,9,40,7,2,5,15,Finance,Central,15,70.14,Medium
Company_009,2024-08-01,10,3,6,114647.88,59.79,15,-34,3,10,2,16,Healthcare,East,27,20.87,Low
Company_010,2024-08-01,7,1,7,110291.64,65.19,24,60,3,4,3,2,Healthcare,East,49,40.56,Low
Company_011,2024-08-01,10,2,3,56306.95,74.85,82,-27,3,4,2,10,Retail,South,55,33.45,Low
Company_012,2024-08-01,10,1,8,176204.99,101.11,38,-80,2,2,1,12,Healthcare,North,8,34.4,Low
Company_013,2024-08-01,8,0,9,103000.38,124.49,77,-61,3,1,3,13,E-commerce,South,57,76.05,High
Company_014,2024-08-01,6,0,4,129961.13,275.77,-16,38,7,6,0,6,Finance,West,29,58.43,Medium
Company_015,2024-08-01,11,4,4,28670.06,44.7,7,-1,9,0,4,12,Healthcare,Central,19,3.81,Low
Company_016,2024-08-01,5,1,5,177887.82,191.88,22,-99,5,4,3,13,Retail,East,31,87.74,Medium
Company_017,2024-08-01,7,1,1,98862.11,1130.82,37,91,8,9,1,15,Healthcare,South,9,29.68,Medium
Company_018,2024-08-01,7,3,6,93603.58,55.17,-44,-31,6,7,0,12,Finance,Central,10,99.71,Low
Company_019,2024-08-01,5,0,9,54660.77,32.35,-14,71,10,6,5,5,Logistics,Central,37,95.42,Medium
Company_020,2024-08-01,10,1,2,148799.58,141.87,19,-68,9,8,0,12,Healthcare,North,10,94.05,Medium
Company_021,2024-08-01,12,5,3,62824.44,85.83,51,44,10,0,0,20,E-commerce,East,54,81.11,Medium
Company_022,2024-08-01,13,2,1,193732.71,309.42,9,-66,7,2,0,8,Finance,Central,33,22.06,Medium
Company_023,2024-08-01,13,5,6,196094.21,160.25,-3,-17,3,7,2,10,Retail,East,25,53.26,Low
Company_024,2024-08-01,11,3,7,28692.77,65.95,94,-3,4,6,2,2,Finance,South,57,22.43,Low
Company_025,2024-08-01,14,4,8,111280.25,56.48,20,-96,8,0,2,7,Logistics,Central,54,25.97,Low
Company_026,2024-08-01,16,4,7,115179.29,82.66,66,-83,10,0,0,7,Retail,Central,56,61.1,Low
Company_027,2024-08-01,14,2,5,44786.95,39.55,-49,-95,9,2,1,4,Logistics,South,4,4.08,Low
Company_028,2024-08-01,12,0,0,153393.2,1290.57,21,71,1,9,1,14,Logistics,East,53,96.95,High
Company_029,2024-08-01,12,3,8,85461.26,60.76,79,-35,5,2,4,19,E-commerce,East,5,91.87,Low
Company_030,2024-08-01,9,1,5,161972.85,281.13,91,83,1,2,2,3,Healthcare,Central,23,38.08,Medium
Company_031,2024-08-01,13,8,5,89633.78,402.36,48,-94,4,9,5,12,E-commerce,South,39,51.54,Low
Company_032,2024-08-01,7,2,6,40972.87,54.17,1,83,3,1,4,20,E-commerce,West,55,46.61,Low
Company_033,2024-08-01,8,4,6,161515.45,171.19,-38,-74,4,10,4,3,E-commerce,East,5,88.22,Low
Company_034,2024-08-01,10,3,5,133106.26,69.49,44,100,0,5,4,13,Retail,West,52,68.86,Low
Company_035,2024-08-01,4,2,5,100076.38,866.11,69,-6,1,8,5,10,Healthcare,Central,8,27.81,Low
Company_036,2024-08-01,6,0,6,147510.09,75.12,-97,7,7,1,3,11,Healthcare,West,17,44.68,Low
Company_037,2024-08-01,7,2,3,48936.8,90.73,62,17,2,6,1,16,Retail,West,1,42.9,Low
Company_038,2024-08-01,14,8,4,189411.14,110.93,66,-31,9,8,3,14,E-commerce,East,54,95.93,Medium
Company_039,2024-08-01,12,2,5,55431.06,149.34,11,87,9,4,2,7,E-commerce,Central,50,17.53,Medium
Company_040,2024-08-01,8,4,5,17714.9,18.56,-78,-29,7,3,3,18,Logistics,West,12,8.96,Low
Company_041,2024-08-01,15,3,7,128743.57,80.17,56,71,6,5,0,15,Logistics,East,35,88.06,Medium
Company_042,2024-08-01,9,1,6,40923.84,22.82,-17,-54,7,3,2,8,Finance,West,52,89.67,Medium
Company_043,2024-08-01,11,2,9,36635.51,491.19,-13,-29,9,4,4,0,Logistics,East,14,87.17,Medium
Company_044,2024-08-01,11,4,7,101371.43,60.88,32,-52,1,3,5,13,Healthcare,Central,48,51.1,Low
Company_045,2024-08-01,8,3,9,136854.62,200.09,25,42,3,7,5,15,Retail,South,18,65.97,Low
Company_046,2024-08-01,12,2,5,11471.92,17.85,14,-96,1,4,1,12,E-commerce,East,10,56.34,Low
Company_047,2024-08-01,13,4,5,195476.06,735.13,77,-38,4,10,4,11,Finance,East,55,6.94,Low
Company_048,2024-08-01,9,3,4,192748.02,131.39,21,41,8,5,3,17,Logistics,West,15,59.58,Low
Company_049,2024-08-01,8,2,1,96409.75,151.24,-16,-10,7,4,2,8,Finance,Central,42,1.36,Low
Company_050,2024-08-01,11,4,2,159942.76,1359.98,-41,-70,3,5,0,17,Retail,North,33,32.5,Low
Company_051,2024-08-01,14,6,7,66804.58,74.44,95,76,2,3,1,15,Retail,North,19,93.23,Low
Company_052,2024-08-01,13,3,4,79979.71,79.9,-30,85,9,8,4,9,Finance,South,34,30.4,Low
Company_053,2024-08-01,11,1,3,58978.79,30.33,-75,-51,4,3,2,5,Finance,Central,45,93.98,Medium
Company_054,2024-08-01,8,3,1,6494.49,13.61,-23,-97,8,2,2,1,Finance,East,25,25.01,Low
Company_055,2024-08-01,2,0,4,27198.49,37.61,-87,41,4,2,5,15,E-commerce,North,16,31.46,Low
Company_056,2024-08-01,10,5,9,129098.27,862.3,-74,-97,9,4,3,15,Healthcare,South,8,62.84,Low
Company_057,2024-08-01,7,1,4,18846.49,91.33,12,-13,2,0,2,15,Logistics,Central,35,76.16,High
Company_058,2024-08-01,12,3,6,109123.66,333.54,-71,-84,6,7,0,18,Logistics,South,21,50.14,Low
Company_059,2024-08-01,8,4,8,160684.17,97.17,61,75,0,2,1,18,Logistics,North,19,88.21,Medium
Company_060,2024-08-01,9,2,4,178568.92,246.49,-23,-79,3,1,4,13,Finance,West,46,4.02,Low
Company_061,2024-08-01,6,0,5,197667.01,211.34,55,52,9,3,4,12,Finance,West,11,92.22,High
Company_062,2024-08-01,12,5,2,80657.42,222.78,15,13,4,9,3,9,Finance,Central,44,19.63,Low
Company_063,2024-08-01,10,1,7,35058.28,31.03,45,58,0,9,5,3,E-commerce,South,11,88.42,Medium
Company_064,2024-08-01,10,4,2,57698.3,29.83,95,-47,10,3,2,2,E-commerce,East,11,40.09,Low
Company_065,2024-08-01,10,1,8,12694.61,12.99,-60,-39,2,8,0,5,E-commerce,North,22,83.28,Low
Company_066,2024-08-01,10,1,5,176032.66,93.1,-100,4,7,9,3,9,E-commerce,West,21,67.17,Low
Company_067,2024-08-01,6,1,4,104698.72,103.66,-92,-41,4,4,5,14,Retail,West,27,17.59,Medium
Company_068,2024-08-01,13,2,6,97984.48,70.44,-82,75,3,4,5,18,E-commerce,South,18,91.8,Low
Company_069,2024-08-01,12,3,3,199575.07,145.7,69,-50,6,1,4,7,E-commerce,West,42,24.55,Low
Company_070,2024-08-01,13,0,7,100087.42,496.92,65,-62,4,2,0,1,E-commerce,South,48,24.41,Medium
Company_071,2024-08-01,9,3,5,102621.73,64.17,-58,-22,9,9,2,14,Logistics,North,40,81.42,Low
Company_072,2024-08-01,12,4,7,129892.83,66.31,-69,19,4,6,2,16,Logistics,South,38,10.59,Low
Company_073,2024-08-01,11,6,4,165394.28,102.24,38,26,7,1,4,1,Logistics,West,30,22.2,Low
Company_074,2024-08-01,10,3,3,150985.82,225.59,10,88,5,9,2,0,Healthcare,South,51,50.37,Low
Company_075,2024-08-01,3,1,8,192995.29,861.15,-77,-42,10,9,4,0,Retail,West,45,83.05,Medium
Company_076,2024-08-01,12,3,8,157455.65,120.55,95,72,4,9,0,5,Finance,Central,47,14.75,Medium
Company_077,2024-08-01,3,2,3,154675.69,179.4,20,32,10,7,2,5,E-commerce,West,45,54.77,Low
Company_078,2024-08-01,7,2,5,130742.36,159.34,49,11,10,7,0,15,Logistics,West,33,71.12,Medium
Company_079,2024-08-01,12,5,4,78923.34,111.5,-11,4,5,5,5,3,Retail,West,21,86.06,Low
Company_080,2024-08-01,9,0,9,8304.79,5.35,-59,-16,6,7,2,12,E-commerce,Central,59,93.56,Medium
Company_081,2024-08-01,13,4,1,63461.1,48.42,94,40,0,7,0,10,Healthcare,East,2,78.46,Low
Company_082,2024-08-01,10,5,8,76307.75,155.89,-36,-18,1,6,4,0,Finance,West,13,65.28,Low
Company_083,2024-08-01,7,0,7,96647.71,54.12,68,38,7,6,0,6,E-commerce,East,2,43.36,Low
Company_084,2024-08-01,12,7,4,58567.24,36.07,32,-8,9,7,5,14,Finance,North,57,11.21,Low
Company_085,2024-08-01,10,3,12,90214.2,74.72,94,-87,3,4,4,4,E-commerce,South,43,70.97,Low
Company_086,2024-08-01,16,3,6,7360.11,108.84,-27,12,7,1,0,20,Healthcare,East,45,99.27,High
Company_087,2024-08-01,9,1,4,98773.58,73.62,55,-39,2,4,4,0,Retail,North,31,73.68,Medium
Company_088,2024-08-01,5,2,8,51877.79,122.47,41,4,1,3,0,14,Finance,South,10,1.67,Low
Company_089,2024-08-01,15,1,6,179348.39,94.61,-70,65,2,7,5,9,Finance,West,23,49.63,Low
Company_090,2024-08-01,15,6,4,18875.87,102.27,30,80,4,6,3,15,Retail,West,22,61.46,Low
Company_091,2024-08-01,16,4,6,12326.36,41.18,-38,16,8,2,3,6,Finance,West,47,68.97,Low
Company_092,2024-08-01,13,5,1,147222.23,76.07,53,30,2,1,2,13,Logistics,Central,29,71.97,Low
Company_093,2024-08-01,7,0,9,120174.38,89.75,-13,29,4,0,2,9,Retail,Central,33,55.81,Low
Company_094,2024-08-01,12,4,5,105201.62,100.93,50,48,10,7,1,14,Healthcare,Central,31,22.34,Medium
Company_095,2024-08-01,9,1,7,70444.04,35.98,37,23,5,5,4,17,E-commerce,Central,14,94.22,Low
Company_096,2024-08-01,12,8,3,168604.48,2333.14,-4,16,5,3,5,7,E-commerce,North,10,69.67,Low
Company_097,2024-08-01,9,2,4,161000.68,142.76,46,-2,3,6,0,10,Retail,North,18,23.68,Low
Company_098,2024-08-01,9,4,8,136433.88,903.06,90,21,6,6,5,20,Logistics,West,11,32.23,Low
Company_099,2024-08-01,10,0,4,89389.54,64.47,-62,26,0,2,4,18,Healthcare,South,39,92.19,Medium
Company_100,2024-08-01,8,0,4,59181.29,100.51,-16,-75,7,1,4,14,E-commerce,Central,47,88.75,High
Company_001,2024-09-01,4,0,4,99192.74,172.92,-97,84,2,6,5,4,E-commerce,South,3,40.51,Low
Company_002,2024-09-01,8,1,5,57143.4,719.09,-81,20,4,5,4,12,Logistics,North,2,3.83,Low
Company_003,2024-09-01,18,4,5,189223.57,127.32,66,-80,5,10,4,12,Finance,Central,54,4.85,Low
Company_004,2024-09-01,14,5,2,92799.58,48.4,-19,60,7,8,0,19,Retail,North,8,28.39,Low
Company_005,2024-09-01,9,4,5,119943.53,96.27,-83,-40,10,10,2,7,Logistics,North,31,62.91,Low
Company_006,2024-09-01,11,2,3,17192.63,18.19,91,-77,6,1,5,3,Logistics,East,8,58.42,Low
Company_007,2024-09-01,12,3,7,77367.02,41.92,13,-58,4,0,0,10,Logistics,North,43,63.38,Low
Company_008,2024-09-01,11,2,7,187574.72,1073.01,-86,-25,5,5,3,4,Logistics,West,48,71.73,High
Company_009,2024-09-01,13,3,5,36100.99,99.48,-38,35,6,9,5,5,Finance,North,2,1.9,Low
Company_010,2024-09-01,4,1,3,105426.1,96.34,-57,-56,1,9,3,19,Healthcare,Central,22,10.51,Low
Company_011,2024-09-01,9,3,6,81582.49,72.26,74,-39,7,9,1,7,Logistics,West,5,35.95,Low
Company_012,2024-09-01,10,3,5,140320.17,281.93,18,63,4,7,2,0,Logistics,North,7,15.49,Low
Company_013,2024-09-01,5,1,2,37320.89,20.88,19,-27,10,8,1,2,Retail,West,20,7.53,Low
Company_014,2024-09-01,7,2,2,50669.66,105.97,13,-12,9,4,5,13,E-commerce,North,28,64.1,Low
Company_015,2024-09-01,10,0,6,123099.39,441.93,76,-36,7,4,1,12,Finance,West,13,81.53,Medium
Company_016,2024-09-01,8,2,3,159587.83,864.32,23,-73,3,6,4,11,Logistics,South,2,75.26,Low
Company_017,2024-09-01,10,1,9,171719.93,96.96,47,-25,4,0,5,12,Healthcare,East,32,81.7,High
Company_018,2024-09-01,10,4,3,78216.44,48.36,-30,-98,9,10,5,1,Healthcare,West,26,66.59,Low
Company_019,2024-09-01,11,6,5,47445.14,35.4,55,90,7,4,1,19,Healthcare,Central,3,73.53,Low
Company_020,2024-09-01,10,0,8,149739.37,392.74,-10,-44,10,3,4,8,Retail,East,41,27.18,Medium
Company_021,2024-09-01,7,3,7,44439.57,67.13,73,93,10,10,1,20,Healthcare,East,42,99.3,Medium
Company_022,2024-09-01,7,2,6,140009.99,247.84,-76,60,10,0,2,14,Retail,North,56,18.32,Low
Company_023,2024-09-01,16,8,7,22235.06,15.74,-92,48,5,2,0,9,Finance,West,13,21.45,Low
Company_024,2024-09-01,9,1,4,68431.67,37.87,-17,91,6,2,1,4,Healthcare,East,57,28.89,Low
Company_025,2024-09-01,14,3,3,30365.73,323.97,38,-7,8,8,2,5,E-commerce,Central,21,97.53,Low
Company_026,2024-09-01,9,2,3,12592.91,7.49,-35,23,4,5,0,14,Logistics,Central,45,98.83,Low
Company_027,2024-09-01,11,0,9,107897.11,233.2,-81,-64,3,10,5,12,Finance,Central,37,79.49,High
Company_028,2024-09-01,11,5,7,131484.6,224.07,42,-7,1,6,0,8,E-commerce,North,23,62.91,Low
Company_029,2024-09-01,6,1,3,156925.0,126.66,37,-69,7,5,5,8,Finance,South,7,52.01,Low
Company_030,2024-09-01,10,1,4,11190.03,12.78,49,-3,10,5,0,7,Healthcare,West,17,97.06,Low
Company_031,2024-09-01,5,0,7,179986.34,142.38,20,-94,9,8,2,19,Finance,East,28,69.56,Medium
Company_032,2024-09-01,14,4,2,46104.65,92.72,-44,65,1,10,3,9,Finance,West,47,94.47,Medium
Company_033,2024-09-01,10,3,7,30287.4,55.06,66,4,1,2,0,1,Finance,East,30,31.66,Low
Company_034,2024-09-01,9,1,3,99484.91,155.51,-23,26,1,1,1,17,Retail,North,5,33.38,Low
Company_035,2024-09-01,11,1,4,64760.38,39.16,-66,-1,7,5,5,17,E-commerce,West,24,85.47,Low
Company_036,2024-09-01,10,5,7,149620.08,148.06,7,50,2,6,5,3,Healthcare,North,7,14.99,Low
Company_037,2024-09-01,10,3,5,115706.83,98.08,25,57,6,4,0,11,Logistics,North,59,94.59,Medium
Company_038,2024-09-01,10,7,3,47648.41,117.21,-45,13,7,3,2,3,Healthcare,West,34,50.75,Low
Company_039,2024-09-01,13,5,4,169798.57,105.99,75,-6,8,10,2,1,Healthcare,West,56,92.64,Medium
Company_040,2024-09-01,6,1,1,174780.46,109.54,1,-30,3,1,3,2,Retail,East,50,33.68,Medium
Company_041,2024-09-01,11,5,3,45470.48,88.4,69,-46,10,10,4,0,Retail,Central,42,71.6,Low
Company_042,2024-09-01,15,3,7,44867.43,62.86,-88,-15,3,2,4,6,Finance,North,33,48.29,Low
